Time,Blade,Action,Type,Interface,Origin,Source,Destination,Service,Access Rule Number,Access Rule Name,Description,SNI,TLS Server Host Name
2026-04-02T16:17:42Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T16:17:34Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T16:14:13Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T16:14:13Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T16:14:13Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T16:14:13Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T16:14:13Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.113,443,,Cleanup rule,,,
2026-04-02T16:14:13Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.110,443,,Cleanup rule,,,
2026-04-02T16:14:12Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.113,443,,,,,
2026-04-02T16:14:12Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.110,443,,,,,
2026-04-02T16:12:45Z,Firewall,Accept,Connection,,,192.168.100.150,51.124.78.146,443,,Cleanup rule,,,
2026-04-02T16:12:42Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T16:12:37Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,51.124.78.146,443,,,,,
2026-04-02T16:12:34Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T16:08:06Z,Firewall,Accept,Connection,,,192.168.100.150,157.240.203.174,443,,Cleanup rule,,,
2026-04-02T16:08:05Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,157.240.203.174,443,,,,,
2026-04-02T16:07:41Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T16:07:34Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T16:06:37Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T16:06:30Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T16:06:29Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T16:06:21Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T16:01:28Z,Firewall,Accept,Connection,,,192.168.100.150,13.83.125.0,443,,Cleanup rule,,,
2026-04-02T16:01:21Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,13.83.125.0,443,,,,,
2026-04-02T15:59:13Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T15:59:13Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T15:59:12Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.113,443,,Cleanup rule,,,
2026-04-02T15:59:12Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.110,443,,Cleanup rule,,,
2026-04-02T15:59:11Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.113,443,,,,,
2026-04-02T15:59:11Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.110,443,,,,,
2026-04-02T15:58:02Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:58:00Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:57:58Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:57:58Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:57:55Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:57:54Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:57:54Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:57:52Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:57:50Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:57:50Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
